# Approximate pincode coordinates via OpenStreetMap Nominatim - for reference only
pincode,latitude,longitude,source
414202,18.9391617,75.0199356,nominatim_approx
424101,20.4590059,75.0109897,nominatim_approx
424102,20.5155165,75.09552,nominatim_approx
424103,20.6012833,75.1377948,nominatim_approx
424104,20.5579207,75.1927146,nominatim_approx
424105,20.6843074,75.1949457,nominatim_approx
424106,20.596934,74.930683,nominatim_approx
424107,20.6937614,75.0150077,nominatim_approx
424108,20.3886558,74.9110403,nominatim_approx
424116,20.5067625,74.8480716,nominatim_approx
424201,20.6647471,75.3418308,nominatim_approx
424202,20.6321228,75.4648728,nominatim_approx
424203,20.5944896,75.4695852,nominatim_approx
424204,20.6534869,75.591274,nominatim_approx
424205,20.70762,75.6808113,nominatim_approx
424206,20.7668404,75.6446986,nominatim_approx
424207,20.6526163,75.7667529,nominatim_approx
424208,20.6711811,75.9092546,nominatim_approx
424302,20.8936353,74.5820893,nominatim_approx
425001,21.0044721,75.5558175,nominatim_approx
425002,21.0122617,75.5647432,nominatim_approx
425003,20.9374731,75.6079984,nominatim_approx
425101,21.0427959,75.6067165,nominatim_approx
425102,21.0485666,75.6427336,nominatim_approx
425103,20.9944925,75.4529597,nominatim_approx
425104,21.0672333,75.3626431,nominatim_approx
